Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
gohugoio/hugo,https://github.com/gohugoio/hugo,spf13,NYC,Go,"Go(98.94),HTML(0.98),Shell(0.08)",The world’s fastest framework for building websites.,1978999,Apache-2.0,5019,6024,2013/07,1802,3682,423695,303854,727549,2018-06-05 07:32:08,2.0433,221,197,61,26223,3139,444,14.14,24,281,2642,2923,1.6221,90.39,1,9,2,1,3,6,1,1,1
astaxie/beego,https://github.com/astaxie/beego,astaxie,"Shanghai, China",Go,Go(100.00),"beego is an open-source, high-performance web framework for the Go programming language.",1222162,[Custom license],10203,11639,2012/02,2294,2031,96138,50421,146559,2017-12-18 11:18:59,0.8854,151,72,23,15588,3372,231,6.85,18,516,1646,2162,0.9425,76.13,3,10,3,5,1,10,4,2,2
gobuffalo/buffalo,https://github.com/gobuffalo/buffalo,markbates,"Boston, MA",Go,"Go(99.89),HTML(0.08),Shell(0.03)",Rapid Web Development w/ Go,325905,MIT,639,2118,2014/10,1327,1277,720846,695139,1415985,2018-05-02 18:56:07,0.9623,27,1108,40,2941,223,72,32.29,3,54,455,509,0.3836,89.39,9,5,10,3,6,8,3,5,3
kataras/iris,https://github.com/kataras/iris,kataras,Greece,Go,"Go(99.04),TypeScript(0.94),HTML(0.02)",The fastest open-source and community-driven web framework for Go in (THIS) Earth. One of the most documented GitHub projects: https://github.com/kataras/iris/#learn,992944,BSD-3-Clause,282,445,2016/01,862,1110,2217724,1494949,3712673,2018-06-04 22:24:35,1.2877,38,3344,26,10544,1084,40,3.69,3,4,845,849,0.9849,99.53,5,2,9,4,10,1,2,6,4
labstack/echo,https://github.com/labstack/echo,vishr,San Francisco,Go,"Go(99.67),Makefile(0.22),HTML(0.11)","High performance, minimalist Go web framework",231293,MIT,293,942,2015/03,1197,1002,423046,414732,837778,2018-05-01 09:18:55,0.8371,26,836,57,10573,928,103,11.10,2,124,654,778,0.6500,84.06,4,4,11,2,8,9,5,8,5
revel/revel,https://github.com/revel/revel,robfig,[Unknown],Go,"Go(98.35),HTML(1.61),NewLisp(0.03),JavaScript(0.01)","A high productivity, full-stack web framework for the Go language.",422521,MIT,403,747,2011/12,2375,1055,69445,58947,128392,2018-03-21 16:43:36,0.4442,94,121,21,9911,1243,119,9.57,13,67,759,826,0.3478,91.89,6,11,5,7,9,4,8,3,6
gin-gonic/gin,https://github.com/gin-gonic/gin,manucorporat,Spain,Go,"Go(99.48),Makefile(0.42),Shell(0.10)","Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",315384,MIT,543,2923,2014/06,1455,780,26308,11197,37505,2018-05-31 06:13:40,0.5361,54,48,15,17849,2108,153,7.26,6,218,691,909,0.6247,76.02,2,7,7,9,4,11,6,4,7
go-aah/aah,https://github.com/go-aah/aah,jeevatkm,"Los Angeles, USA",Go,"Go(97.99),HTML(1.77),CSS(0.25)","A secure, flexible, rapid Go web framework",285431,MIT,72,211,2016/06,713,337,34560,23981,58541,2018-06-09 06:50:33,0.4727,238,173,13,300,12,3,25.00,1,8,133,141,0.1978,94.33,11,1,1,10,11,3,7,10,8
go-chi/chi,https://github.com/go-chi/chi,pkieltyka,"Toronto, Canada",Go,Go(100.00),"lightweight, idiomatic and composable router for building Go HTTP services",208046,MIT,165,1004,2015/10,969,406,23607,14649,38256,2018-04-24 17:23:50,0.4190,54,94,17,3587,248,46,18.55,2,19,173,192,0.1981,90.10,7,3,8,8,7,7,9,7,9
go-macaron/macaron,https://github.com/go-macaron/macaron,Unknwon,"Boston, MA",Go,"Go(99.99),HTML(0.01)",Package macaron is a high productive and modular web framework in Go.,155783,Apache-2.0,6206,7127,2014/07,1431,204,11263,5249,16512,2018-04-26 21:11:54,0.1426,114,80,21,2394,226,15,6.64,1,12,115,127,0.0887,90.55,10,6,4,6,2,5,10,11,10
zenazn/goji,https://github.com/zenazn/goji,zenazn,San Francisco,Go,Go(100.00),Goji is a minimalistic web framework for Golang that's high in antioxidants.,157760,MIT,237,2243,2014/03,1562,215,11598,5085,16683,2018-03-13 03:35:36,0.1376,68,77,6,3436,230,19,8.26,1,2,136,138,0.0883,98.55,8,8,6,11,5,2,11,9,11
