Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,jbeda,"Seattle, WA",Go,"Go(97.51),Shell(2.18),PowerShell(0.16),Makefile(0.06),Dockerfile(0.05),Python(0.03),Go Template(0.02),C(0.00),sed(0.00),HTML(0.00)",Production-Grade Container Scheduling and Management,91958862,Apache-2.0,1305,11799,2014/06,4369,138095,28791797,21930231,50722028,2026-05-23 16:26:43,31.6079,282,367,1227,122446,43150,345,0.80,1203,2699,316953,319652,73.1637,99.16,1,44,4,2,1,4,3,1,1
backstage/backstage,https://github.com/backstage/backstage,stefanalund,Sweden,TypeScript,"TypeScript(93.84),JavaScript(2.07),MDX(2.04),CSS(1.49),Handlebars(0.28),Mustache(0.08),SCSS(0.06),Dockerfile(0.05),HTML(0.05),Shell(0.03),Makefile(0.02),HCL(0.01),PowerShell(0.00)",Backstage is an open framework for building developer portals,28961721,Apache-2.0,120,1610,2020/01,2311,73974,5948543,3643958,9592501,2026-05-23 10:16:16,32.0095,140,129,675,33422,7344,364,4.96,407,489,7971,8460,3.6608,94.22,6,4,35,9,30,19,2,3,2
istio/istio,https://github.com/istio/istio,smawson,"Sunnyvale, CA",Go,"Go(98.05),Shell(0.76),Makefile(0.30),CSS(0.27),Jsonnet(0.20),Go Template(0.18),HTML(0.16),Python(0.07),Dockerfile(0.01),Java(0.01),JavaScript(0.00)","Connect, secure, control, and observe services.",17548622,Apache-2.0,12,2293,2016/11,3473,26229,16058589,15154062,31212651,2026-05-24 02:44:22,7.5523,225,1190,441,38212,8310,367,4.42,269,467,27127,27594,7.9453,98.31,5,29,11,15,21,8,10,5,3
cilium/cilium,https://github.com/cilium/cilium,tgraf,"Zurich, Switzerland",Go,"Go(88.00),C(10.16),Shell(0.80),Makefile(0.35),Go Template(0.24),Python(0.24),Dockerfile(0.14),SmPL(0.05),HTML(0.01),Lua(0.01),TeX(0.00)","eBPF-based Networking, Security, and Observability",24016937,Apache-2.0,580,2973,2015/12,3812,42657,18055034,11733805,29788839,2026-05-24 01:25:28,11.1902,218,698,845,24411,3786,398,10.51,229,988,12487,13475,3.5349,92.67,13,41,13,5,14,22,5,6,4
grafana/grafana,https://github.com/grafana/grafana,[Unknown account],[Unknown],TypeScript,"TypeScript(49.12),Go(44.37),PLpgSQL(4.13),CUE(0.62),Rich Text Format(0.39),JavaScript(0.30),HTML(0.29),MDX(0.23),Shell(0.21),SCSS(0.12),Makefile(0.06),Jsonnet(0.05),HCL(0.04),Dockerfile(0.03),Go Template(0.01),Starlark(0.01),Jinja(0.01),CSS(0.00),Mustache(0.00),Smarty(0.00),Ruby(0.00),Handlebars(0.00),PowerShell(0.00),Assembly(0.00)","The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",89223064,AGPL-3.0,0,2275,2013/12,4547,69462,18880896,14362034,33242930,2026-05-23 10:36:49,15.2764,201,478,700,73974,13946,370,2.65,426,3623,65565,69188,15.2162,94.76,2,45,15,8,22,17,4,2,5
grafana/mimir,https://github.com/grafana/mimir,colega,Babia,Go,"Go(91.38),Jsonnet(5.32),Go Template(2.18),Shell(0.45),Makefile(0.23),Mustache(0.13),JavaScript(0.12),Open Policy Agent(0.11),Dockerfile(0.08),CSS(0.00),jq(0.00)","Grafana Mimir provides horizontally scalable, highly available, multi-tenant, long-term storage for Prometheus.",20546446,AGPL-3.0,92,2028,2021/07,1776,15171,12999003,8139689,21138692,2026-05-22 12:37:01,8.5422,232,1393,461,5102,772,385,49.87,121,772,1532,2304,1.2973,66.49,45,2,9,13,26,44,7,13,6
containerd/containerd,https://github.com/containerd/containerd,crosbymichael,[Unknown],Go,"Go(97.70),Shell(1.70),Makefile(0.40),PowerShell(0.07),jq(0.06),Dockerfile(0.06)",An open and reliable container runtime,6500028,Apache-2.0,1637,7891,2015/11,3845,16750,5434873,3731323,9166196,2026-05-22 23:52:16,4.3563,259,547,301,20772,3938,425,10.79,126,605,32015,32620,8.4837,98.15,17,42,5,22,3,9,15,12,7
prometheus/prometheus,https://github.com/prometheus/prometheus,matttproud,"Zürich, Schweiz",Go,"Go(87.68),TypeScript(11.09),Yacc(0.47),Shell(0.22),SCSS(0.15),CSS(0.12),JavaScript(0.08),Makefile(0.08),Lex(0.05),HTML(0.04),Dockerfile(0.01),Go Template(0.01)",The Prometheus monitoring system and time series database.,12162356,Apache-2.0,484,5530,2012/11,4929,17650,4740310,4143841,8884151,2026-05-24 09:24:06,3.5808,196,503,530,64157,10427,352,3.38,148,783,75822,76605,15.5417,98.98,3,48,16,11,6,5,19,9,8
VictoriaMetrics/VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,valyala,United states,Go,"Go(87.15),TypeScript(9.57),SCSS(1.54),Makefile(0.91),Shell(0.56),JavaScript(0.07),Dockerfile(0.07),HTML(0.06),HCL(0.04),CSS(0.02),Go Template(0.01),Perl(0.01)","VictoriaMetrics: fast, cost-effective monitoring solution and time series database",8598022,Apache-2.0,3887,4825,2018/09,2793,12436,5122077,2723131,7845208,2026-05-22 15:05:50,4.4526,157,630,992,17049,1650,371,22.48,51,771,4146,4917,1.7605,84.32,19,12,30,3,7,33,14,31,9
kubevirt/kubevirt,https://github.com/kubevirt/kubevirt,doron-fediuck,[Unknown],Go,"Go(92.22),Starlark(5.89),Shell(1.72),Python(0.06),Makefile(0.05),Dockerfile(0.03),C(0.03)",Kubernetes Virtualization API and runtime in order to define and manage virtual machines.,20163047,Apache-2.0,0,303,2016/12,3445,27885,11143587,8080387,19223974,2026-05-24 12:01:02,8.0943,342,689,332,6868,1684,359,21.32,163,631,5448,6079,1.7646,89.62,39,28,1,20,51,25,8,7,10
