Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
mongodb/mongo,https://github.com/mongodb/mongo,dwight,NY,C++,"C++(74.33),JavaScript(18.07),Python(4.39),Go(2.99),Shell(0.12),C(0.08),Ruby(0.02),Batchfile(0.00),PowerShell(0.00),HTML(0.00),GDB(0.00)",The MongoDB Database,52413421,[Custom license],137,721,2009/01,3455,35730,13831508,10260659,24092167,2018-07-03 02:07:37,10.3415,1011,674,656,14016,3637,271,7.45,100,0,0,0,0.0000,0.00,2,11,3,2,6,7,3,1,1
MariaDB/server,https://github.com/MariaDB/server,[Unknown account],[Unknown],C++,"C++(56.08),C(33.43),Perl(2.00),Yacc(1.27),HTML(0.94),Objective-C(0.88),PHP(0.86),Assembly(0.81),Shell(0.77),CMake(0.74),Roff(0.73),PLSQL(0.67),Pascal(0.20),Python(0.19),M4(0.08),SourcePawn(0.07),Java(0.06),SQLPL(0.05),Makefile(0.03),Batchfile(0.03),DTrace(0.02),Ruby(0.02),XS(0.02),Lex(0.02),Perl 6(0.01),JavaScript(0.01),Scilab(0.01),PLpgSQL(0.01),POV-Ray SDL(0.00),Visual Basic(0.00),Awk(0.00)","MariaDB server is a community developed fork of MySQL server. Started by core members of the original MySQL team, MariaDB actively works with outside developers to deliver the most featureful, stable, and sanely licensed open SQL server in the industry.",90378827,[Custom license],0,226,2014/05,1509,25234,24637173,16869834,41507007,2018-07-03 00:55:10,16.7223,932,1644,794,2047,669,54,8.07,69,0,0,0,0.0000,0.00,11,4,4,1,10,10,1,2,2
postgres/postgres,https://github.com/postgres/postgres,scrappy,[Unknown],C,"C(84.28),PLpgSQL(6.20),C++(2.04),Perl(2.02),Yacc(1.45),Objective-C(0.86),SQLPL(0.80),Makefile(0.76),Lex(0.49),PLSQL(0.25),M4(0.24),Shell(0.17),Ruby(0.17),Python(0.11),Roff(0.07),Batchfile(0.03),XS(0.02),Emacs Lisp(0.01),DTrace(0.01),Assembly(0.01),sed(0.00)","Mirror of the official PostgreSQL GIT repository. Note that this is just a *mirror* - we don't work with pull requests on github. To contribute, please see http://wiki.postgresql.org/wiki/Submitting_a_Patch",41354100,[Custom license],2,506,2010/09,2841,40804,9793148,6897330,16690478,2018-07-02 13:19:46,14.3625,2733,409,450,4079,1387,29,2.09,25,0,0,0,0.0000,0.00,6,5,1,5,7,8,2,8,3
apache/cassandra,https://github.com/apache/cassandra,[Unknown account],[Unknown],Java,"Java(95.11),Python(2.44),HTML(1.25),GAP(0.41),Shell(0.39),PowerShell(0.18),Batchfile(0.18),Lex(0.05),AMPL(0.00)",Mirror of Apache Cassandra,21203267,Apache-2.0,0,767,2009/05,3330,13172,1736646,1235522,2972168,2018-07-02 18:39:37,3.9556,716,225,234,4490,2056,270,13.13,59,0,0,0,0.0000,0.00,5,9,5,7,5,6,6,4,4
pouchdb/pouchdb,https://github.com/pouchdb/pouchdb,mikeal,San Francisco,JavaScript,"JavaScript(98.96),HTML(0.55),Shell(0.50)",:koala: - PouchDB is a pocket-sized database.,2294079,Apache-2.0,3603,2825,2010/06,2944,3818,515773,391944,907717,2018-07-02 13:58:59,1.2969,371,237,71,10724,1073,291,27.12,37,24,3487,3511,1.1926,99.32,3,6,9,9,3,1,10,6,5
apache/hbase,https://github.com/apache/hbase,cutting,[Unknown],Java,"Java(94.27),Ruby(1.67),Scala(1.27),Perl(1.07),Shell(0.69),Python(0.25),C++(0.16),Thrift(0.12),Groovy(0.11),CSS(0.10),C(0.08),Batchfile(0.07),HTML(0.05),CMake(0.04),PHP(0.02),XSLT(0.02),JavaScript(0.01),Makefile(0.00)",Mirror of Apache HBase,35711845,Apache-2.0,495,506,2014/05,1501,11118,5831218,5113907,10945125,2018-06-29 19:19:59,7.4071,618,984,607,2060,1579,189,11.97,66,0,0,0,0.0000,0.00,10,3,6,3,8,9,5,3,6
apache/couchdb,https://github.com/apache/couchdb,cmlenz,"Frankfurt am Main, Germany",Erlang,"Erlang(76.76),JavaScript(14.75),Python(5.06),C(1.49),Shell(0.87),Ruby(0.52),Makefile(0.31),PowerShell(0.18),C++(0.02),Batchfile(0.02)",Apache CouchDB,4568896,Apache-2.0,29,2867,2009/05,3330,9234,816875,668981,1485856,2018-06-29 21:31:55,2.7730,563,160,47,3712,783,135,17.24,35,165,357,522,0.1568,68.39,7,8,7,10,2,3,7,7,7
mysql/mysql-server,https://github.com/mysql/mysql-server,[Unknown account],[Unknown],C++,"C++(52.62),C(21.34),JavaScript(14.75),Java(3.06),CSS(1.99),Perl(1.00),PHP(0.96),Objective-C(0.83),Assembly(0.76),CMake(0.67),Yacc(0.40),HTML(0.29),Shell(0.29),PLpgSQL(0.22),Python(0.21),Pascal(0.09),Makefile(0.08),Roff(0.08),SourcePawn(0.07),GAP(0.05),SQLPL(0.05),XSLT(0.04),Perl 6(0.03),DTrace(0.01),ActionScript(0.01),Lex(0.01),PLSQL(0.01),Prolog(0.01),RPC(0.01),M4(0.01),Emacs Lisp(0.01),Awk(0.01),Batchfile(0.01),Vim script(0.00),POV-Ray SDL(0.00),AngelScript(0.00),Visual Basic(0.00)","MySQL Server, the world's most popular open source database, and MySQL Cluster, a real-time, open source transactional database.",129902355,[Custom license],0,121,2014/09,1375,11014,5437353,3252592,8689945,2018-04-03 08:28:21,8.0102,1305,788,602,2796,1132,63,5.57,53,0,0,0,0.0000,0.00,9,2,2,4,11,11,4,5,8
antirez/redis,https://github.com/antirez/redis,antirez,"Campobello di Licata, Sicily, Italy",C,"C(83.39),Tcl(13.03),Ruby(2.00),Objective-C(0.68),Shell(0.42),Makefile(0.26),C++(0.20),Smarty(0.03)","Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, HyperLogLogs, Bitmaps.",4062399,BSD-3-Clause,9974,11163,2009/03,3390,6033,526000,283129,809129,2018-07-02 16:49:34,1.7796,404,134,209,29893,11580,260,2.25,18,1772,1938,3710,1.0944,52.24,1,10,8,8,1,5,9,10,9
dgraph-io/dgraph,https://github.com/dgraph-io/dgraph,manishrjain,"San Francisco, CA",Go,"Go(96.63),Shell(2.53),Python(0.70),Makefile(0.13)","Fast, Distributed Graph DB",1896589,[Custom license],159,456,2015/08,1042,2284,6014505,5214022,11228527,2018-07-01 03:17:02,2.1919,71,4916,33,5848,392,65,16.58,16,158,1080,1238,1.1881,87.24,4,1,11,11,9,2,8,11,10
