Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
kubernetes/kubernetes,https://github.com/kubernetes/kubernetes,jbeda,"Seattle, WA",Go,"Go(97.51),Shell(2.18),PowerShell(0.16),Makefile(0.06),Dockerfile(0.05),Python(0.03),Go Template(0.02),C(0.00),sed(0.00),HTML(0.00)",Production-Grade Container Scheduling and Management,91958862,Apache-2.0,1305,11799,2014/06,4371,138108,28792569,21930342,50722911,2026-05-23 16:26:43,31.5964,282,367,1227,122446,43150,345,0.80,1204,2699,316953,319652,73.1302,99.16,1,46,9,8,8,5,2,1,1
spinnaker/spinnaker,https://github.com/spinnaker/spinnaker,[Unknown account],[Unknown],Java,"Java(40.81),Groovy(25.72),TypeScript(13.59),Kotlin(12.52),JavaScript(3.55),HTML(1.98),Go(0.67),Scala(0.45),Less(0.42),Shell(0.14),FreeMarker(0.06),Slim(0.02),HCL(0.02),PowerShell(0.02),CSS(0.01),MDX(0.01),Python(0.01),Jinja(0.00),Makefile(0.00),Dockerfile(0.00)","Spinnaker is an open source, multi-cloud continuous delivery platform for releasing software changes with high velocity and confidence.",53778190,Apache-2.0,0,1772,2014/07,4345,50728,4665090,3377996,8043086,2026-05-21 18:54:10,11.6750,258,158,2047,9728,1266,323,25.51,252,143,3061,3204,0.7374,95.54,43,45,13,5,39,15,6,6,2
opentofu/opentofu,https://github.com/opentofu/opentofu,mitchellh,"Los Angeles, CA",Go,"Go(91.03),MDX(8.31),HCL(0.47),Shell(0.10),Makefile(0.05),Python(0.02),Dockerfile(0.01),PowerShell(0.01),JavaScript(0.01)",OpenTofu lets you declaratively manage your cloud infrastructure.,17779975,MPL-2.0,22708,26882,2023/08,1013,33544,10153400,9449819,19603219,2026-05-22 17:12:16,33.1135,104,584,89,28772,1252,351,28.04,192,339,4375,4714,4.6535,92.81,19,1,55,61,3,25,1,9,3
cilium/cilium,https://github.com/cilium/cilium,tgraf,"Zurich, Switzerland",Go,"Go(88.00),C(10.16),Shell(0.80),Makefile(0.35),Go Template(0.24),Python(0.24),Dockerfile(0.14),SmPL(0.05),HTML(0.01),Lua(0.01),TeX(0.00)","eBPF-based Networking, Security, and Observability",24016937,Apache-2.0,580,2973,2015/12,3813,42658,18055067,11733816,29788883,2026-05-24 01:25:28,11.1875,218,698,845,24411,3786,398,10.51,229,988,12487,13475,3.5340,92.67,26,33,20,10,26,27,7,7,4
ansible/ansible,https://github.com/ansible/ansible,mpdehaan,[Unknown],Python,"Python(86.66),PowerShell(7.44),Shell(2.91),C#(2.55),Jinja(0.41),Go(0.02),Batchfile(0.00)","Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.",11141043,GPL-3.0,1372,4668,2012/03,5193,55450,4600423,4181117,8781540,2026-05-21 22:28:19,10.6778,166,158,718,68703,24173,373,1.54,587,805,95451,96256,18.5357,99.16,5,59,33,11,17,3,8,2,5
grafana/grafana,https://github.com/grafana/grafana,[Unknown account],[Unknown],TypeScript,"TypeScript(49.12),Go(44.37),PLpgSQL(4.13),CUE(0.62),Rich Text Format(0.39),JavaScript(0.30),HTML(0.29),MDX(0.23),Shell(0.21),SCSS(0.12),Makefile(0.06),Jsonnet(0.05),HCL(0.04),Dockerfile(0.03),Go Template(0.01),Starlark(0.01),Jinja(0.01),CSS(0.00),Mustache(0.00),Smarty(0.00),Ruby(0.00),Handlebars(0.00),PowerShell(0.00),Assembly(0.00)","The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ",89223064,AGPL-3.0,0,2275,2013/12,4548,69476,18883343,14363282,33246625,2026-05-23 10:36:49,15.2762,201,478,700,73974,13946,370,2.65,426,3623,65565,69188,15.2128,94.76,3,52,21,13,31,18,5,4,6
moby/moby,https://github.com/moby/moby,aluzzardi,"San Francisco, CA",Go,"Go(97.32),Shell(1.36),Dockerfile(0.44),PowerShell(0.28),Lua(0.22),Go Template(0.13),Makefile(0.10),Python(0.06),C(0.05),HCL(0.04),Assembly(0.00)",The Moby Project - a collaborative project for the container ecosystem to assemble container-based systems,11209795,Apache-2.0,441,20309,2013/01,4875,43764,0,0,0,2026-05-25 10:24:41,8.9772,1401,0,572,71602,18955,394,2.08,100,3777,24738,28515,5.8492,86.75,4,57,1,16,5,37,9,25,7
containers/podman,https://github.com/containers/podman,rhatdan,"Wells, ME",Go,"Go(80.66),Shell(14.27),Perl(1.94),Python(1.36),PowerShell(0.73),C(0.55),Makefile(0.42),Ruby(0.03),Dockerfile(0.03),Awk(0.01),HTML(0.00),Batchfile(0.00)",Podman: A tool for managing OCI containers and pods.,10960626,Apache-2.0,1172,2405,2017/11,3127,27312,7345312,4606970,11952282,2026-05-22 16:37:01,8.7343,171,437,262,31786,3121,419,13.43,108,1089,17277,18366,5.8734,94.07,15,17,31,29,29,21,10,23,8
hashicorp/vault,https://github.com/hashicorp/vault,armon,"Seattle, WA",Go,"Go(67.63),JavaScript(17.65),TypeScript(4.92),Handlebars(4.40),HCL(3.47),Shell(1.28),SCSS(0.45),Makefile(0.06),Dockerfile(0.05),Go Template(0.05),Smarty(0.03),Batchfile(0.02),HTML(0.01)","A tool for secrets management, encryption as a service, and privileged access management",29630568,NOASSERTION,3097,31410,2015/02,4108,23476,8985198,7882920,16868118,2026-05-25 19:30:03,5.7147,199,718,480,35658,4679,388,8.29,196,1495,7443,8938,2.1758,83.27,13,41,22,19,1,42,19,8,9
bridgecrewio/checkov,https://github.com/bridgecrewio/checkov,schosterbarak,☁️,Python,"Python(75.64),HCL(21.88),TypeScript(1.32),Bicep(0.52),Shell(0.30),Dockerfile(0.22),Jinja(0.04),Perl(0.03),Go Template(0.02),Java(0.01),Batchfile(0.01),JavaScript(0.01)","Prevent cloud misconfigurations and find vulnerabilities during build-time in infrastructure as code, container images and open source packages with Checkov by Bridgecrew.",13694009,Apache-2.0,103,5518,2019/11,2371,17367,2837093,1939122,4776215,2026-05-14 23:16:39,7.3248,151,275,3872,8750,1341,381,28.41,82,142,734,876,0.3695,83.79,49,6,37,3,14,41,13,34,10
hashicorp/terraform,https://github.com/hashicorp/terraform,mitchellh,"Los Angeles, CA",Go,"Go(99.66),HCL(0.18),Shell(0.13),Dockerfile(0.02),Makefile(0.01)","Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",18505310,NOASSERTION,22708,27141,2014/03,4456,35439,10383976,9634203,20018179,2026-05-20 13:46:08,7.9531,120,564,449,48465,10346,352,3.40,185,1908,39006,40914,9.1818,95.34,9,48,47,21,2,16,11,11,11
containerd/containerd,https://github.com/containerd/containerd,crosbymichael,[Unknown],Go,"Go(97.70),Shell(1.70),Makefile(0.40),PowerShell(0.07),jq(0.06),Dockerfile(0.06)",An open and reliable container runtime,6500028,Apache-2.0,1637,7891,2015/11,3847,16750,5434873,3731323,9166196,2026-05-22 23:52:16,4.3540,259,547,301,20772,3938,425,10.79,126,605,32015,32620,8.4793,98.15,29,36,12,27,10,10,24,21,12
pulumi/pulumi,https://github.com/pulumi/pulumi,joeduffy,"Seattle, WA",Go,"Go(74.41),Python(10.53),TypeScript(7.41),JavaScript(7.28),Makefile(0.17),Shell(0.15),Go Template(0.03),Dockerfile(0.01),C#(0.01),Batchfile(0.00),Assembly(0.00),HCL(0.00),Java(0.00),Puppet(0.00)",Pulumi - Infrastructure as Code in any programming language 🚀,25377487,Apache-2.0,669,1621,2016/10,3493,15413,11125558,7737798,18863356,2026-05-23 02:54:23,4.4125,251,1223,1429,25246,1377,339,24.62,84,2448,18200,20648,5.9113,88.14,25,23,14,7,40,32,23,30,13
envoyproxy/envoy,https://github.com/envoyproxy/envoy,[Unknown account],[Unknown],C++,"C++(87.65),Starlark(4.68),Java(1.87),Rust(1.65),Python(0.80),Go(0.78),C(0.62),Assembly(0.44),Shell(0.42),Kotlin(0.42),Swift(0.33),Objective-C++(0.09),JavaScript(0.09),Objective-C(0.07),Jinja(0.06),jq(0.02),HTML(0.01),CSS(0.00),Dockerfile(0.00),Emacs Lisp(0.00),Thrift(0.00),PureBasic(0.00),Batchfile(0.00),Makefile(0.00)",Cloud-native high-performance edge/middle/service proxy,75167844,Apache-2.0,0,1381,2016/08,3577,27420,4388743,1892812,6281555,2026-05-24 12:39:53,7.6656,295,229,262,28260,5397,374,6.93,351,1817,10815,12632,3.5315,85.62,21,25,7,30,44,38,12,5,14
rancher/rancher,https://github.com/rancher/rancher,ibuildthecloud,[Unknown],Go,"Go(97.67),Shell(1.02),Python(0.98),Dockerfile(0.26),Mustache(0.05),Go Template(0.01),Makefile(0.00)",Complete container management platform,12635224,Apache-2.0,1592,2303,2014/11,4217,14565,7335137,6731208,14066345,2026-05-22 04:46:51,3.4539,367,965,2451,25603,3195,295,9.23,169,3377,43283,46660,11.0647,92.76,23,44,4,4,30,26,30,14,15
prometheus/prometheus,https://github.com/prometheus/prometheus,matttproud,"Zürich, Schweiz",Go,"Go(87.68),TypeScript(11.09),Yacc(0.47),Shell(0.22),SCSS(0.15),CSS(0.12),JavaScript(0.08),Makefile(0.08),Lex(0.05),HTML(0.04),Dockerfile(0.01),Go Template(0.01)",The Prometheus monitoring system and time series database.,12162356,Apache-2.0,484,5530,2012/11,4930,17654,4740351,4143842,8884193,2026-05-24 09:24:06,3.5809,196,503,530,64157,10427,352,3.38,148,783,75822,76605,15.5385,98.98,6,58,23,18,13,6,28,18,16
jenkinsci/jenkins,https://github.com/jenkinsci/jenkins,[Unknown account],[Unknown],Java,"Java(87.08),HTML(6.59),JavaScript(3.00),SCSS(2.26),Groovy(0.38),CSS(0.25),Ruby(0.12),Perl(0.11),Handlebars(0.11),Python(0.03),ANTLR(0.03),Shell(0.02),C(0.01),Batchfile(0.01)",Jenkins automation server,14765375,MIT,0,4102,2010/11,5663,38306,1682637,1068032,2750669,2026-05-25 17:42:13,6.7643,269,71,1903,25291,9493,295,3.11,180,3595,23616,27211,4.8051,86.79,24,61,11,6,20,36,15,13,17
chef/chef,https://github.com/chef/chef,adamhjk,"San Francisco, CA",Ruby,"Ruby(98.02),Shell(0.71),PowerShell(0.44),HTML(0.41),Python(0.32),JavaScript(0.06),Dockerfile(0.03),Makefile(0.01),Batchfile(0.00),Raku(0.00)","Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale",10082440,Apache-2.0,390,1366,2009/01,6339,34218,1235336,872522,2107858,2026-05-22 19:13:26,5.3980,295,61,5658,8180,2526,291,11.52,186,369,21097,21466,3.3863,98.28,50,63,8,2,45,9,20,10,18
hashicorp/nomad,https://github.com/hashicorp/nomad,armon,"Seattle, WA",Go,"Go(82.08),JavaScript(12.08),Handlebars(2.55),HCL(2.01),SCSS(0.62),Shell(0.44),Makefile(0.09),TypeScript(0.04),Dockerfile(0.03),PowerShell(0.03),Go Template(0.01),HTML(0.01),Java(0.00),Python(0.00)","Nomad is an easy-to-use, flexible, and performant workload orchestrator that can deploy a mix of microservice, batch, containerized, and non-containerized applications. Nomad is easy to operate and scale and has native Consul and Vault integrations.",23303437,NOASSERTION,3097,5024,2015/06,4011,28066,24103569,23323053,47426622,2026-05-25 17:01:32,6.9973,179,1689,381,16523,2084,365,17.51,123,1647,4231,5878,1.4655,71.98,30,40,27,23,16,55,14,22,19
go-gitea/gitea,https://github.com/go-gitea/gitea,unknwon,[Unknown],Go,"Go(78.20),Handlebars(12.34),TypeScript(4.57),CSS(1.98),JavaScript(1.40),Vue(0.97),Shell(0.25),Makefile(0.16),Jsonnet(0.08),Dockerfile(0.03),Nix(0.01),Less(0.01)","Git with a cup of tea! Painless self-hosted all-in-one software development service, including Git hosting, code review, team collaboration, package registry and CI/CD",18378528,MIT,14336,16906,2016/11,3493,20875,7377009,6603080,13980089,2026-05-26 05:06:54,5.9762,129,669,251,55919,6727,397,5.90,167,2753,9802,12555,3.5943,78.07,8,24,43,33,7,49,18,15,20
concourse/concourse,https://github.com/concourse/concourse,xoebus,"San Francisco, CA",Go,"Go(75.12),Elm(23.35),JavaScript(0.77),Less(0.37),PLpgSQL(0.13),HTML(0.09),Shell(0.08),CSS(0.04),Dockerfile(0.02),C(0.01),Open Policy Agent(0.01),HCL(0.00),Makefile(0.00)",Concourse is a container-based automation system written in Go. It's mostly used for CI/CD.,10155121,Apache-2.0,114,1005,2014/04,4419,27998,3533504,2958855,6492359,2026-05-24 15:34:58,6.3358,193,231,394,7831,885,277,31.30,96,78,5547,5625,1.2729,98.61,54,47,24,22,50,8,16,27,21
hashicorp/consul,https://github.com/hashicorp/consul,armon,"Seattle, WA",Go,"Go(76.36),SCSS(12.11),JavaScript(5.44),Handlebars(2.36),Shell(2.09),Gherkin(0.83),HCL(0.31),MDX(0.28),Makefile(0.11),Dockerfile(0.07),Go Template(0.05),HTML(0.01)","Consul is a distributed, highly available, and data center aware solution to connect and configure applications across dynamic, distributed infrastructure.",25224537,NOASSERTION,3097,4606,2013/11,4585,21905,7547160,6355678,13902838,2026-05-22 13:01:42,4.7775,178,634,609,29899,4592,353,7.69,184,1373,5525,6898,1.5045,80.10,17,53,28,14,19,46,21,12,22
Kong/kong,https://github.com/Kong/kong,subnetmarco,San Francisco,Lua,"Lua(89.30),Perl(5.20),Raku(3.06),Starlark(0.98),Shell(0.87),Python(0.41),Makefile(0.09),CSS(0.05),Dockerfile(0.03),Linker Script(0.01)",🦍 The API and AI Gateway,11273213,Apache-2.0,428,6336,2014/11,4207,11256,1003169,515307,1518476,2026-05-26 03:14:22,2.6755,236,134,176,43441,5142,336,6.53,97,142,13174,13316,3.1652,98.93,11,43,17,45,11,7,39,26,23
open-telemetry/opentelemetry-collector,https://github.com/open-telemetry/opentelemetry-collector,rakyll,"San Francisco, CA",Go,"Go(94.95),Go Template(4.38),Makefile(0.33),Shell(0.25),HTML(0.10)",OpenTelemetry Collector,5144446,Apache-2.0,13083,1316,2019/05,2573,8291,1625499,1320224,2945723,2026-05-22 22:26:38,3.2223,171,355,6059,7057,2077,408,19.64,87,693,11449,12142,4.7190,94.29,57,7,30,1,46,20,33,29,24
puppetlabs/puppet,https://github.com/puppetlabs/puppet,lak,"Portland, OR",Ruby,"Ruby(99.33),HTML(0.37),Puppet(0.16),Shell(0.09),C#(0.04),Pascal(0.01),Batchfile(0.00)",Server automation framework and application,13016533,Apache-2.0,172,689,2010/09,5732,35429,1929483,1470763,3400246,2024-12-11 04:01:36,6.1809,366,95,460,7863,2213,257,11.61,159,97,3463,3560,0.6211,97.28,53,62,5,20,54,11,17,17,25
saltstack/salt,https://github.com/saltstack/salt,thatch45,"Salt Lake City, Utah",Python,"Python(96.74),Shell(1.82),PowerShell(0.57),NSIS(0.30),C#(0.23),Jinja(0.14),SaltStack(0.10),HTML(0.03),Rich Text Format(0.01),Makefile(0.01),XSLT(0.01),Batchfile(0.01),Cython(0.00),Scilab(0.00),Scheme(0.00),C(0.00),HCL(0.00),Dockerfile(0.00),Go(0.00)",Software to automate the management and configuration of infrastructure and applications at scale.,30777889,Apache-2.0,347,1258,2011/02,5573,124572,8520440,6258298,14778738,2026-05-20 07:08:51,22.3528,240,118,324,15452,5594,285,5.09,516,2541,9731,12272,2.2020,79.29,33,60,16,26,48,47,4,3,26
aquasecurity/trivy,https://github.com/aquasecurity/trivy,knqyf263,"Dubai, UAE",Go,"Go(98.67),Mustache(0.79),Go Template(0.31),Shell(0.21),Yacc(0.02),Dockerfile(0.00)","Find vulnerabilities, misconfigurations, secrets, SBOM in containers, Kubernetes, code repositories, clouds and more",7035730,Apache-2.0,979,3149,2019/04,2602,4058,1261931,671200,1933131,2026-05-25 07:03:15,1.5596,126,476,183,35181,395,444,112.41,44,254,3447,3701,1.4224,93.14,14,8,45,42,23,24,49,48,27
