Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
gohugoio/hugo,https://github.com/gohugoio/hugo,spf13,NYC,Go,"Go(99.05),HTML(0.54),Python(0.32),Shell(0.06),Dockerfile(0.03)",The world’s fastest framework for building websites.,3904703,Apache-2.0,9068,10655,2013/07,2690,5147,679968,481759,1161727,2020-11-13 10:19:23,1.9134,337,225,146,48145,5453,437,8.01,33,578,1437,2015,0.7491,71.32,1,9,1,1,3,10,1,1,1
astaxie/beego,https://github.com/astaxie/beego,astaxie,"Shanghai, China",Go,"Go(99.98),Smarty(0.02),Makefile(0.00)","beego is an open-source, high-performance web framework for the Go programming language.",1945821,NOASSERTION,13792,15618,2012/02,3181,2337,966818,884610,1851428,2020-11-14 08:04:29,0.7347,205,792,32,25261,5020,331,6.59,23,676,443,1119,0.3518,39.59,3,10,3,4,1,11,5,2,2
gobuffalo/buffalo,https://github.com/gobuffalo/buffalo,markbates,"Boston, MA",Go,"Go(95.13),Shell(1.89),HTML(1.68),JavaScript(0.73),SCSS(0.32),Makefile(0.19),Dockerfile(0.06)",Rapid Web Development w/ Go,492587,MIT,1274,1913,2014/10,2215,1949,790356,748743,1539099,2020-11-11 14:35:36,0.8799,71,789,131,5924,461,138,29.93,5,73,338,411,0.1856,82.24,8,5,8,2,7,8,3,6,3
go-aah/aah,https://github.com/go-aah/aah,jeevatkm,"Los Angeles, USA",Go,Go(100.00),"A secure, flexible, rapid Go web framework",979686,NOASSERTION,163,420,2016/06,1601,1239,116009,76748,192757,2020-09-02 02:31:20,0.7739,252,155,24,625,30,5,16.67,2,15,845,860,0.5372,98.26,11,1,2,8,11,2,4,8,4
labstack/echo,https://github.com/labstack/echo,vishr,San Francisco,Go,"Go(99.90),HTML(0.08),Makefile(0.03)","High performance, minimalist Go web framework",323806,MIT,520,849,2015/03,2085,1092,426986,416140,843126,2020-11-11 13:48:26,0.5237,62,772,96,18489,1654,174,10.52,6,57,516,573,0.2748,90.05,5,4,9,3,10,6,6,5,5
go-chi/chi,https://github.com/go-chi/chi,[Unknown account],[Unknown],Go,Go(100.00),"lightweight, idiomatic and composable router for building Go HTTP services",243600,MIT,0,3565,2015/10,1857,264,6907,3175,10082,2020-11-12 17:31:05,0.1422,49,38,30,8423,577,81,14.04,2,25,1097,1122,0.6042,97.77,7,3,10,5,5,3,9,9,6
kataras/iris,https://github.com/kataras/iris,[Unknown account],[Unknown],Go,Go(100.00),"The fastest HTTP/2 Go Web Framework. AWS Lambda, gRPC, MVC, Unique Router, Websockets, Sessions, Test suite, Dependency Injection and more. A true successor of expressjs and laravel | 谢谢 https://github.com/kataras/iris/issues/1329 |",1447819,BSD-3-Clause,0,1338,2016/01,1750,1674,495128,413430,908558,2020-11-13 18:11:55,0.9566,47,542,14,19415,2128,75,3.52,3,12,440,452,0.2583,97.35,4,2,11,10,8,4,2,7,7
gin-gonic/gin,https://github.com/gin-gonic/gin,manucorporat,Spain,Go,"Go(99.59),Makefile(0.41)","Gin is a HTTP web framework written in Go (Golang). It features a Martini-like API with much better performance -- up to 40 times faster. If you need smashing performance, get yourself some Gin.",437240,MIT,1058,5540,2014/06,2342,985,36743,23084,59827,2020-11-11 01:41:35,0.4206,125,60,22,43227,4967,280,5.64,9,338,1002,1340,0.5722,74.78,2,7,4,9,4,9,7,4,8
revel/revel,https://github.com/revel/revel,robfig,[Unknown],Go,"Go(99.08),HTML(0.92)","A high productivity, full-stack web framework for the Go language.",479867,MIT,554,1065,2011/12,3263,1094,72994,60730,133724,2020-07-12 05:57:36,0.3353,122,122,24,11973,1388,129,9.29,13,90,573,663,0.2032,86.43,6,11,5,7,9,7,8,3,9
go-macaron/macaron,https://github.com/go-macaron/macaron,unknwon,"Hangzhou, China",Go,"Go(99.99),HTML(0.01)",Package macaron is a high productive and modular web framework in Go.,162350,Apache-2.0,10729,12141,2014/07,2319,227,11723,5384,17107,2020-11-13 12:00:30,0.0979,117,75,30,3068,270,21,7.78,1,11,366,377,0.1626,97.08,10,6,6,6,2,5,10,11,10
zenazn/goji,https://github.com/zenazn/goji,zenazn,San Francisco,Go,Go(100.00),Goji is a minimalistic web framework for Golang that's high in antioxidants.,162617,MIT,273,2802,2014/03,2449,222,11836,5179,17015,2019-05-03 15:59:02,0.0906,81,76,7,3597,241,22,9.13,1,1,123,124,0.0506,99.19,9,8,7,11,6,1,11,10,11
