Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
spring-projects/spring-framework,https://github.com/spring-projects/spring-framework,nebhale,"Marin County, CA",Java,"Java(98.49),Kotlin(1.19),Groovy(0.09),AspectJ(0.08),FreeMarker(0.07),CSS(0.03),GAP(0.01),Shell(0.01),XSLT(0.01),HTML(0.00),Ruby(0.00),JavaScript(0.00),Smarty(0.00),Dockerfile(0.00),PLpgSQL(0.00),Python(0.00)",Spring Framework,42276184,Apache-2.0,528,8733,2010/12,3629,18372,3881856,3167508,7049364,2020-11-13 16:52:51,5.0626,1093,383,197,40131,27618,393,1.42,47,1154,8218,9372,2.5825,87.69,1,11,1,3,2,4,1,4,1
netty/netty,https://github.com/netty/netty,trustin,South Korea,Java,"Java(98.63),C(1.08),HTML(0.12),JavaScript(0.09),Shell(0.05),Makefile(0.01),Groovy(0.01),C++(0.01),CSS(0.00)",Netty project - an event-driven asynchronous network application framework,17218268,Apache-2.0,1726,4467,2010/11,3658,8188,1288551,903419,2191970,2020-11-11 05:47:51,2.2384,797,267,221,25231,12166,360,2.96,54,464,10158,10622,2.9038,95.63,2,12,3,2,3,1,4,3,2
vaadin/framework,https://github.com/vaadin/framework,jojule,[Unknown],Java,"Java(95.51),SCSS(2.82),JavaScript(0.52),HTML(0.40),Shell(0.32),Batchfile(0.16),Python(0.13),CSS(0.13),Smarty(0.00)","Vaadin 6, 7, 8   is a Java framework for modern Java web applications.",25462111,NOASSERTION,61,816,2012/10,2948,14495,4036821,3348727,7385548,2020-11-10 09:51:25,4.9169,837,509,276,1636,727,191,26.27,58,544,873,1417,0.4807,61.61,8,7,2,1,11,10,2,2,3
playframework/playframework,https://github.com/playframework/playframework,guillaumebort,Paris,Scala,"Scala(69.12),Java(29.57),HTML(0.89),Shell(0.22),JavaScript(0.16),Roff(0.03),Less(0.02),CSS(0.01)",Play Framework,5026225,Apache-2.0,498,2364,2011/09,3356,5999,1013716,858528,1872244,2020-11-14 06:27:50,1.7875,747,312,193,11735,3931,381,9.69,66,485,2703,3188,0.9499,84.79,3,9,4,4,5,5,5,1,4
primefaces/primefaces,https://github.com/primefaces/primefaces,cagataycivici,Turkey,JavaScript,"JavaScript(49.62),Java(48.14),CSS(2.24)",Ultimate Component Suite for JavaServer Faces,11330812,MIT,551,1100,2015/04,2044,9249,2714000,1230962,3944962,2020-11-13 18:43:05,4.5250,415,426,66,1291,599,150,25.04,28,276,5775,6051,2.9604,95.44,10,3,5,9,7,2,3,5,5
ratpack/ratpack,https://github.com/ratpack/ratpack,justinvoss,"Santa Clara, CA",Java,"Java(68.24),Groovy(29.95),CSS(0.94),JavaScript(0.73),HTML(0.10),Shell(0.04),Ruby(0.01)",Lean & powerful HTTP apps,4053356,NOASSERTION,17,1455,2013/01,2852,4940,641547,495389,1136936,2020-07-05 00:30:22,1.7321,317,230,70,1871,383,126,32.90,20,200,401,601,0.2107,66.72,7,6,7,8,6,9,6,6,6
eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,denisroy,[Unknown],Java,"Java(99.99),Shell(0.01),HTML(0.00)",Vert.x is a tool-kit for building reactive applications on the JVM,5689058,NOASSERTION,0,2545,2011/06,3438,3839,659463,523143,1182606,2020-11-14 14:25:57,1.1166,245,308,108,11476,1734,171,9.86,15,264,727,991,0.2882,73.36,4,10,8,6,4,8,8,7,7
jooby-project/jooby,https://github.com/jooby-project/jooby,jknack,Buenos Aires,Java,"Java(97.08),Kotlin(1.29),PHP(0.63),Handlebars(0.60),HTML(0.25),Groovy(0.07),Shell(0.04),Dockerfile(0.04),FreeMarker(0.00)",The modular web framework for Java and Kotlin,2678778,Apache-2.0,171,865,2014/10,2217,2636,3809081,3553456,7362537,2020-11-14 14:13:44,1.1890,118,2793,109,1248,161,62,38.51,5,15,178,193,0.0871,92.23,11,5,11,5,9,3,7,10,8
bootique/bootique,https://github.com/bootique/bootique,andrus,Twitter: @andrus_a,Java,"Java(99.97),HTML(0.03)",Bootique is a minimally opinionated platform for modern runnable Java apps.,1098566,Apache-2.0,55,397,2015/12,1801,1195,99502,63201,162703,2020-10-24 12:36:54,0.6635,400,136,26,1320,281,12,4.27,6,35,122,157,0.0872,77.71,9,1,6,11,12,6,9,9,9
lets-blade/blade,https://github.com/lets-blade/blade,biezhi,"ShangHai, China",Java,"Java(99.82),HTML(0.18)",:rocket: Lightning fast and elegant mvc framework for Java8,884438,Apache-2.0,4575,9742,2015/06,1984,617,96804,66847,163651,2020-03-22 13:39:23,0.3110,114,265,12,5421,1117,26,2.33,3,62,185,247,0.1245,74.90,5,2,12,12,1,7,12,12,10
