Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
golang/go,https://github.com/golang/go,[Unknown account],[Unknown],Go,"Go(85.65),Assembly(8.57),HTML(5.08),C(0.41),Shell(0.13),Perl(0.07),JavaScript(0.03),Python(0.03),Batchfile(0.02),C++(0.00),Logos(0.00),RPC(0.00),Makefile(0.00),Awk(0.00),Fortran(0.00),CSS(0.00)",The Go programming language,48251354,NOASSERTION,0,16403,2014/08,1520,33541,6061234,4142069,10203303,2018-10-12 21:07:04,22.0664,1603,304,219,48041,6598,406,6.15,100,3998,23904,27902,18.3566,85.67,1,2,5,4,1,2,2,3,1
python/cpython,https://github.com/python/cpython,gvanrossum,San Francisco Bay Area,Python,"Python(61.38),C(32.39),Objective-C(3.53),C++(1.36),M4(0.37),HTML(0.37),Batchfile(0.12),Assembly(0.12),Shell(0.10),Roff(0.08),Makefile(0.06),Common Lisp(0.05),PLSQL(0.05),PowerShell(0.01),DTrace(0.00),CSS(0.00),Visual Basic(0.00)",The Python programming language,45403318,NOASSERTION,6141,8306,2017/02,613,79792,9494693,7111982,16606675,2018-10-16 19:28:34,130.1664,2760,208,367,20341,7173,381,5.31,100,0,0,0,0.0000,0.00,3,1,3,3,6,7,1,1,2
php/php-src,https://github.com/php/php-src,[Unknown account],[Unknown],C,"C(64.70),PHP(28.47),C++(5.25),M4(0.49),Objective-C(0.31),Shell(0.30),JavaScript(0.20),Lex(0.09),Yacc(0.08),Makefile(0.04),HTML(0.02),GDB(0.01),Perl(0.01),Batchfile(0.01),XSLT(0.01),Awk(0.01),DTrace(0.00),GAP(0.00)",The PHP Interpreter,96983717,NOASSERTION,0,15390,2011/06,2680,48272,8404165,7579894,15984059,2018-10-16 20:33:04,18.0119,2023,331,926,19901,5033,214,4.25,97,0,0,0,0.0000,0.00,4,5,4,2,2,5,3,4,3
rust-lang/rust,https://github.com/rust-lang/rust,graydon,"Vancouver, BC",Rust,"Rust(97.41),Python(0.60),JavaScript(0.37),C++(0.32),Makefile(0.26),Shell(0.26),Yacc(0.23),Dockerfile(0.15),CSS(0.14),C(0.09),Pascal(0.04),Roff(0.04),Inno Setup(0.03),Lex(0.03),RenderScript(0.02),Puppet(0.01),XSLT(0.01),Batchfile(0.00),HTML(0.00),PHP(0.00),Assembly(0.00)","A safe, concurrent, practical language.",35893527,NOASSERTION,1606,10556,2010/06,3044,46780,6181712,5365040,11546752,2018-10-17 01:59:28,15.3679,1137,246,63,31176,5236,452,8.63,100,4467,22976,27443,9.0154,83.72,2,8,7,9,4,3,4,2,4
ruby/ruby,https://github.com/ruby/ruby,[Unknown account],[Unknown],Ruby,"Ruby(64.83),C(30.79),Objective-C(2.01),Yacc(0.72),Makefile(0.52),M4(0.40),C++(0.29),GDB(0.09),Ragel(0.07),HTML(0.05),JavaScript(0.05),CSS(0.04),XSLT(0.04),Python(0.03),Batchfile(0.03),Shell(0.02),Emacs Lisp(0.01),sed(0.00),Assembly(0.00),Scilab(0.00),Scheme(0.00),Perl(0.00),Perl 6(0.00)",The Ruby Programming Language,38531419,NOASSERTION,0,9160,2010/02,3153,46195,3925569,2585833,6511402,2018-10-17 06:28:20,14.6511,2864,140,1071,14885,4025,49,1.22,47,0,0,0,0.0000,0.00,5,9,2,1,5,6,5,8,5
elixir-lang/elixir,https://github.com/elixir-lang/elixir,josevalim,"Kraków, Poland",Elixir,"Elixir(90.07),Erlang(9.40),Makefile(0.20),Batchfile(0.17),Shell(0.14),PowerShell(0.01),HTML(0.00)","Elixir is a dynamic, functional language designed for building scalable and maintainable applications",5059630,Apache-2.0,8261,12514,2011/01,2837,11520,619928,439314,1059242,2018-10-15 19:36:15,4.0606,622,91,96,14011,2034,411,20.21,82,30,3469,3499,1.2333,99.14,6,7,9,7,3,1,9,6,6
crystal-lang/crystal,https://github.com/crystal-lang/crystal,asterite,"Buenos Aires, Argentina",Crystal,"Crystal(98.17),JavaScript(0.76),HTML(0.34),C++(0.23),Shell(0.23),CSS(0.18),Makefile(0.07),C(0.01)",The Crystal Programming Language,7329664,NOASSERTION,328,1707,2012/11,2149,9469,680146,398418,1078564,2018-10-16 18:39:54,4.4062,394,113,90,12030,935,312,33.37,44,725,3346,4071,1.8944,82.19,7,3,10,8,7,4,7,9,7
dlang/dmd,https://github.com/dlang/dmd,[Unknown account],[Unknown],D,"D(82.07),C(7.23),HTML(7.19),C++(2.62),Makefile(0.48),Shell(0.29),Objective-C(0.12),DTrace(0.00)",dmd D Programming Language compiler,15816496,BSL-1.0,0,1390,2011/01,2831,11558,2887224,2380041,5267265,2018-10-16 20:04:19,4.0827,903,455,196,1843,467,172,36.83,63,0,0,0,0.0000,0.00,10,6,8,5,8,8,8,7,8
erlang/otp,https://github.com/erlang/otp,[Unknown account],[Unknown],Erlang,"Erlang(77.85),C(15.46),C++(1.99),Makefile(1.34),Java(0.54),Emacs Lisp(0.49),HTML(0.47),Shell(0.44),M4(0.35),XSLT(0.26),DTrace(0.24),Perl(0.15),Python(0.13),Assembly(0.12),Objective-C(0.08),NSIS(0.03),JavaScript(0.03),CSS(0.01),sed(0.01),Roff(0.00),Ruby(0.00),Batchfile(0.00),DIGITAL Command Language(0.00)",Erlang/OTP,92306295,Apache-2.0,0,541,2009/11,3256,16905,3383409,2613953,5997362,2018-10-17 05:56:56,5.1920,1484,354,187,7097,1853,347,18.73,85,0,0,0,0.0000,0.00,8,10,6,6,9,9,6,5,9
lua/lua,https://github.com/lua/lua,[Unknown account],[Unknown],C,"C(95.93),C++(3.06),Makefile(0.83),Objective-C(0.18)","The Lua repo, as seen by the Lua team. Mirrored irregularly. Please DO NOT send pull requests. Send issues/patches to the Lua mailing list https://www.lua.org/lua-l.html",816009,[Custom license],0,110,2012/09,2224,4975,171499,144480,315979,2018-06-19 19:23:57,2.2370,3467,63,40,1899,520,3,0.58,3,0,0,0,0.0000,0.00,9,4,1,10,10,10,10,10,10
