Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
tokio-rs/tokio,https://github.com/tokio-rs/tokio,alexcrichton,[Unknown],Rust,Rust(100.00),"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...",5430541,MIT,3274,16601,2016/09,3543,4516,426918,235366,662284,2026-05-24 07:10:16,1.2746,147,146,388,32086,3066,437,14.25,76,426,16315,16741,4.7251,97.46,3,13,3,3,6,3,11,2,1
clap-rs/clap,https://github.com/clap-rs/clap,kbknapp,"DC, USA",Rust,"Rust(89.18),Shell(6.87),PowerShell(2.53),Nushell(0.56),Elvish(0.40),Roff(0.40),Makefile(0.05)","A full featured, fast Command Line Argument Parser for Rust",2751000,Apache-2.0,339,1995,2015/02,4106,8973,439979,326231,766210,2026-05-11 18:45:03,2.1853,95,85,648,16407,1188,408,34.34,34,433,4671,5104,1.2431,91.52,7,20,18,2,23,9,3,6,2
rustls/rustls,https://github.com/rustls/rustls,ctz,"Cambridge, UK",Rust,"Rust(98.12),HTML(1.01),Shell(0.30),Python(0.29),CSS(0.15),Makefile(0.13)",A modern TLS library in Rust,2474065,NOASSERTION,327,8435,2016/05,3673,5158,339424,224271,563695,2026-05-18 08:56:18,1.4043,149,109,110,7415,830,192,23.13,21,89,5267,5356,1.4582,98.34,17,16,2,15,9,1,10,7,3
tauri-apps/tauri,https://github.com/tauri-apps/tauri,rstoenescu,[Unknown],Rust,"Rust(83.41),TypeScript(6.56),NSIS(3.37),Kotlin(2.01),JavaScript(1.89),Shell(1.66),Swift(0.70),HTML(0.06),Dockerfile(0.06),PowerShell(0.05),AppleScript(0.05),Svelte(0.05),CSS(0.05),Standard ML(0.04),Ruby(0.02),Objective-C(0.01),Objective-C++(0.00),C++(0.00)","Build smaller, faster, and more secure desktop and mobile applications with a web frontend.",3593393,Apache-2.0,1432,2839,2019/07,2507,5998,1028329,809950,1838279,2026-05-24 12:28:35,2.3925,90,306,1776,107037,3628,449,12.38,39,1427,5711,7138,2.8472,80.01,1,9,19,1,21,18,2,4,4
bevyengine/bevy,https://github.com/bevyengine/bevy,cart,[Unknown],Rust,"Rust(94.31),WGSL(5.57),Go Template(0.07),HTML(0.03),GLSL(0.01),Mermaid(0.01)",A refreshingly simple data-driven game engine built in Rust,19137152,Apache-2.0,1945,4597,2020/01,2317,11516,1899827,1231355,3131182,2026-05-23 15:20:34,4.9702,186,271,57,46238,4583,431,9.40,241,3222,3576,6798,2.9340,52.60,2,4,1,23,18,25,1,1,5
ratatui/ratatui,https://github.com/ratatui/ratatui,[Unknown account],[Unknown],Rust,Rust(100.00),A Rust crate for cooking up terminal user interfaces (TUIs) 👨‍🍳🐀 https://ratatui.rs,2430772,MIT,0,6192,2023/02,1196,2219,224773,121652,346425,2026-05-21 21:46:28,1.8554,105,156,175,20633,672,262,38.99,17,205,324,529,0.4423,61.25,5,1,13,11,14,23,5,11,6
wasm-bindgen/wasm-bindgen,https://github.com/wasm-bindgen/wasm-bindgen,alexcrichton,[Unknown],Rust,"Rust(94.86),JavaScript(3.65),WebAssembly(1.28),TypeScript(0.08),HTML(0.07),Just(0.03),Shell(0.03),RenderScript(0.00)",Facilitating high-level interactions between Wasm modules and JavaScript,16090386,Apache-2.0,3274,9720,2017/12,3078,4346,748735,307846,1056581,2026-05-22 16:44:12,1.4120,109,243,131,9005,1216,433,35.61,39,543,1331,1874,0.6088,71.02,15,11,12,13,8,21,9,5,7
diesel-rs/diesel,https://github.com/diesel-rs/diesel,sgrif,"Albuquerque, NM",Rust,"Rust(99.94),PLpgSQL(0.05),Shell(0.02)","A safe, extensible ORM and Query Builder for Rust",4795753,Apache-2.0,1260,3411,2015/08,3920,7550,692895,486083,1178978,2026-05-21 19:15:08,1.9260,98,156,102,14083,1208,397,32.86,50,161,1494,1655,0.4222,90.27,9,18,17,17,20,11,4,3,8
serde-rs/serde,https://github.com/serde-rs/serde,erickt,[Unknown],Rust,Rust(100.00),Serialization framework for Rust,1246660,Apache-2.0,285,40701,2013/11,4575,4354,207218,161790,369008,2026-03-06 05:45:45,0.9517,146,84,322,10603,910,180,19.78,11,384,12103,12487,2.7294,96.92,12,25,4,5,1,5,14,17,9
actix/actix-web,https://github.com/actix/actix-web,fafhrd91,"San Francisco, US",Rust,Rust(100.00),"Actix Web is a powerful, pragmatic, and extremely fast web framework for Rust.",1587092,NOASSERTION,1020,17702,2017/09,3158,5041,354672,303334,658006,2020-11-10 23:54:38,1.5963,81,130,242,9726,1121,239,21.32,16,99,668,767,0.2429,87.09,13,12,21,7,4,12,7,12,10
