Name,URL,Author,Author's location,Main language,All used languages,Description,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Returning contributors (more than 4 weeks),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
actix/actix-web,https://github.com/actix/actix-web,fafhrd91,"San Francisco, US",Rust,Rust(100.00),"Actix Web is a powerful, pragmatic, and extremely fast web framework for Rust.",1587092,NOASSERTION,1020,17702,2017/09,1141,2842,274056,272317,546373,2020-11-10 23:54:38,2.4908,108,192,242,9726,1121,239,21.32,12,99,668,767,0.6722,87.09,2,1,2,1,1,2,1,1,1
SergioBenitez/Rocket,https://github.com/SergioBenitez/Rocket,[Unknown account],[Unknown],Rust,"Rust(99.20),Shell(0.79),Handlebars(0.01),HTML(0.00)",A web framework for Rust.,1260964,NOASSERTION,0,2640,2016/03,1702,1465,177399,125379,302778,2020-11-06 04:43:31,0.8608,63,206,52,11849,785,172,21.91,4,111,344,455,0.2673,75.60,1,5,8,2,2,3,3,5,2
gotham-rs/gotham,https://github.com/gotham-rs/gotham,smangelsdorf,"Brisbane, Australia",Rust,"Rust(99.90),Shell(0.08),HTML(0.01),JavaScript(0.01),CSS(0.00)","A flexible web framework that promotes stability, safety, security and speed.",557236,NOASSERTION,16,347,2017/07,1211,1087,77576,51862,129438,2020-11-11 15:18:24,0.8976,105,119,13,1727,109,49,44.95,8,49,72,121,0.0999,59.50,5,3,3,3,10,5,2,3,3
iron/iron,https://github.com/iron/iron,reem,"San Francisco, CA",Rust,Rust(100.00),"An Extensible, Concurrent Web Framework for Rust",118037,MIT,639,2196,2014/06,2348,1144,28088,23305,51393,2020-06-06 01:05:06,0.4872,75,44,8,5814,399,133,33.33,10,49,10809,10858,4.6244,99.55,3,8,6,6,3,1,4,2,4
nickel-org/nickel.rs,https://github.com/nickel-org/nickel.rs,cburgdorf,Europe,Rust,Rust(100.00),An expressjs inspired web framework for Rust,160779,MIT,392,947,2014/06,2355,520,20355,14039,34394,2020-05-05 19:07:37,0.2208,66,66,12,2784,150,54,36.00,6,59,59,118,0.0501,50.00,4,9,7,4,6,7,5,4,5
tomaka/rouille,https://github.com/tomaka/rouille,tomaka,"Berlin, Germany",Rust,Rust(100.00),Web framework in Rust,258061,NOASSERTION,1152,1917,2015/07,1949,280,13664,5019,18683,2019-08-06 16:41:51,0.1437,91,66,0,596,72,27,37.50,1,55,6,61,0.0313,9.84,8,6,4,10,4,10,8,6,6
Ogeon/rustful,https://github.com/Ogeon/rustful,Ogeon,Sweden,Rust,"Rust(98.19),Shell(1.81)",[OUTDATED] A light HTTP framework for Rust,219615,NOASSERTION,45,899,2014/02,2465,443,30121,19664,49785,2018-06-09 10:04:02,0.1797,90,112,0,868,54,15,27.78,1,6,8,14,0.0057,57.14,6,10,5,8,7,6,6,8,7
rustless/rustless,https://github.com/rustless/rustless,s-panferov,San Francisco Bay area,Rust,"Rust(99.53),Shell(0.30),Makefile(0.17)",REST-like API micro-framework for Rust. Works with Iron.,111704,MIT,172,1858,2014/09,2244,219,12772,8515,21287,2018-03-07 23:15:05,0.0976,53,97,4,595,46,15,32.61,1,18,34,52,0.0232,65.38,9,7,10,7,5,4,9,7,8
mehcode/shio-rs,https://github.com/mehcode/shio-rs,mehcode,"Sacramento, CA, USA",Rust,Rust(100.00),"Shio is a fast, simple, and asynchronous micro web-framework for Rust.",56497,NOASSERTION,200,571,2017/08,1190,212,8724,5598,14322,2018-01-26 17:17:03,0.1782,60,67,12,272,14,3,21.43,1,19,4,23,0.0193,17.39,10,2,9,5,9,9,7,9,9
daogangtang/sapper,https://github.com/daogangtang/sapper,[Unknown account],[Unknown],Rust,Rust(100.00),"A lightweight web framework built on hyper, implemented in Rust language.",66654,MIT,0,790,2016/04,1669,36,4259,3436,7695,2020-03-17 06:40:14,0.0216,250,213,0,607,41,5,12.20,1,6,4,10,0.0060,40.00,7,4,1,9,8,8,10,10,10
