Name,URL,Author,Author's location,Main language,All used languages,Total code size,License,Author's followers,Top 10 contributors followers,Created at,Age in days,Total commits,Total additions,Total deletions,Total code changes,Last commit date,Commits/day,"Average contribution period by contributor, days",Medium commit size,Total releases,Stargazers,Forks,Contributors,Active forkers(%),Open issues,Closed issues,Total issues,Issue/day,Closed issues(%),Placement by popularity,Placement by age,Placement by total commits,Placement by total tags,Placement by top 10 contributors followers,Placement by closed issues percentage,Placement by commits by day,Placement by active forkers column,Placement overall
skinny-framework/skinny-framework,https://github.com/skinny-framework/skinny-framework,seratch,"Tokyo, Japan",Scala,"HTML,Shell,Batchfile,CoffeeScript,Scala,JavaScript,Java,FreeMarker,CSS",2126860,MIT,314,1290,2013/09,1684,1550,183692,113385,297077,2018-04-11 05:11:35,0.9204,267,191,166,667,68,26,38.24,16,125,141,0.0837,88.65,7,9,8,1,4,6,2,9,1
lift/framework,https://github.com/lift/framework,indrajitr,"Chicago, IL",Scala,"HTML,Shell,Batchfile,Scala,JavaScript,CSS,Java",4146555,Apache-2.0,55,833,2011/01,2656,2776,448516,292411,740927,2018-04-12 03:48:35,1.0452,342,266,71,1147,267,80,29.96,141,1311,1452,0.5467,90.29,4,14,6,5,5,5,1,12,2
scalatra/scalatra,https://github.com/scalatra/scalatra,[Account removed],[Unknown],Scala,"Scala,Java,HTML",774527,[Custom license],0,3040,2009/05,3261,2226,156634,139680,296314,2018-04-14 04:42:42,0.6826,163,133,112,2270,330,94,28.48,92,301,393,0.1205,76.59,1,17,11,2,1,11,5,14,3
twitter/finatra,https://github.com/twitter/finatra,capotej,"New York City, NY",Scala,"Python,Java,Thrift,Shell,HTML,Scala",1544007,Apache-2.0,104,604,2012/02,2269,1443,255640,190658,446298,2018-04-12 19:19:48,0.6360,155,309,77,1741,328,114,34.76,14,244,258,0.1137,94.57,2,12,13,4,7,3,6,11,4
outr/youi,https://github.com/outr/youi,darkfrog26,"Norman, Oklahoma",Scala,"Scala,HTML,CSS",1645133,MIT,43,225,2012/06,2138,1627,565272,528398,1093670,2018-04-09 02:38:52,0.7610,383,672,63,122,21,6,28.57,1,31,32,0.0150,96.88,12,11,5,6,10,2,4,13,5
unfiltered/unfiltered,https://github.com/unfiltered/unfiltered,n8han,Montreal,Scala,"Scala,HTML,CSS,JavaScript",818568,MIT,347,1825,2010/05,2908,1769,62862,54891,117753,2018-04-06 07:48:11,0.6083,263,66,40,694,122,61,50.00,35,135,170,0.0585,79.41,6,16,9,9,3,9,7,5,6
ThoughtWorksInc/Binding.scala,https://github.com/ThoughtWorksInc/Binding.scala,Atry,"Beijing, China",Scala,Scala,205976,MIT,634,1927,2016/01,849,665,26702,19584,46286,2018-04-13 05:56:17,0.7833,94,69,60,1217,88,11,12.50,25,31,56,0.0660,55.36,3,4,16,7,2,15,3,17,7
UdashFramework/udash-core,https://github.com/UdashFramework/udash-core,Starzu,Kraków,Scala,"Scala,HTML",2433645,Apache-2.0,13,132,2016/02,800,350,89440,37653,127093,2018-04-13 08:21:33,0.4375,286,363,31,289,18,7,38.89,8,25,33,0.0413,75.76,8,3,7,10,15,12,8,8,8
tumblr/colossus,https://github.com/tumblr/colossus,CaptPhunkosis,New York,Scala,"Scala,HTML,Lua,Shell",947948,Apache-2.0,31,171,2014/11,1270,124,12224,6474,18698,2018-01-24 16:16:44,0.0976,175,150,85,1050,95,17,17.89,1,265,266,0.2094,99.62,5,6,10,3,13,1,15,16,9
analogweb/analogweb-scala,https://github.com/analogweb/analogweb-scala,snowgooseyk,"Tokyo, Japan",Scala,Scala,90298,MIT,2,7,2013/12,1597,343,9295,6296,15591,2017-12-07 14:41:47,0.2148,675,45,14,8,0,2,+Inf,2,25,27,0.0169,92.59,17,8,2,11,17,4,11,1,10
splink/pagelets,https://github.com/splink/pagelets,maxmc,[Unknown],Scala,"Scala,JavaScript,CSS",78456,Apache-2.0,4,10,2016/10,578,111,10549,7669,18218,2017-10-24 07:21:25,0.1920,455,164,8,70,2,2,100.00,1,4,5,0.0087,80.00,14,2,3,12,16,7,12,2,11
widok/widok,https://github.com/widok/widok,tindzk,[Unknown],Scala,Scala,102885,[Custom license],69,303,2014/10,1310,487,30022,24101,54123,2016-07-13 09:34:42,0.3718,110,111,1,127,12,9,75.00,30,50,80,0.0611,62.50,11,7,14,15,8,14,9,3,12
mesosphere/chaos,https://github.com/mesosphere/chaos,florianleibert,[Unknown],Scala,"Scala,Java,HTML,CSS",40689,Apache-2.0,104,781,2013/06,1774,186,4314,2494,6808,2017-10-02 21:47:24,0.1048,161,36,42,228,36,16,44.44,13,15,28,0.0158,53.57,9,10,12,8,6,16,14,6,13
